title,research_type
"IoT-Based Automated Drip Irrigation System for Rice Farming in Tarlac",technical
"Development of a Mobile Application for Crop Pest and Disease Identification Using CNN",technical
"Web-Based Student Portal with SMS Notification System for TAU",technical
"Geodetic Surveying and Mapping of Landslide Prone Areas in Camiling",technical
"Design and Evaluation of a Solar-Powered Hydroponics System",technical
"Performance Evaluation of a Biomass-Fired Crop Dryer",technical
"An Algorithm for Real-Time Facial Recognition in Smart Classrooms",technical
"Data Mining on Student Academic Performance Using Decision Trees",technical
"Development of an Automated Attendance System using RFID and GPS",technical
"Secure Blockchain-Based Grading System for Higher Education",technical
"Isolation and Characterization of Microorganisms in Local Compost",technical
"Vaccine Efficacy Testing against Newcastle Disease in Local Poultry Farms",technical
"Synthesis and Characterization of Biodegradable Plastic from Cassava Starch",technical
"Design of a Micro-Hydro Power Generation System for Remote Communities",technical
"A Machine Learning Approach to Predict Rice Yield based on Weather Data",technical
"Prevalence of Gastrointestinal Parasites in Backyard Swine in Tarlac",technical
"Efficacy of Alternative Wound Healing Ointments in Canine Models",technical
"Hematological and Biochemical Profiles of Local Breeds of Goats",technical
"Development of a Real-Time Soil NPK Sensor and Analyzer",technical
"Formulation and Sensory Evaluation of Cassava-Based Gluten-Free Cookies",technical
"Web-Based Library Management System with QR Code Authentication",technical
"GIS-Based Flood Hazard Mapping and Vulnerability Assessment",technical
"Optimization of Extraction Parameters for Antioxidants in Local Herbs",technical
"Design and Fabrication of a Low-Cost Mechanical Weeder",technical
"Classification of Philippine Mango Varieties Using Computer Vision",technical
"Development of a Mobile-Based Emergency Response App for TAU",technical
"Automated Water Quality Monitoring and Filtration System for Aquaponics",technical
"Efficacy of Essential Oils against Rice Weevil Infestations",technical
"Structural Integrity Analysis of Local Bamboo Species for Construction",technical
"Designing a Low-Cost Air Quality Monitoring Node using Raspberry Pi",technical
"Development of a Decentralized Patient Record Management System",technical
"Phytochemical Screening and Antibacterial Properties of Indigenous Plants",technical
"Development of an E-Commerce Platform for Local Agri-Coops",technical
"Implementation of a Deep Learning Model for Filipino Sign Language",technical
"An Automated Pesticide Sprayer Drone with GPS Navigation",technical
"Microbial Analysis of Street Foods in Camiling Public Market",technical
"Design of an Autonomous Lawn Mower using Ultrasonic Sensors",technical
"Web-Based Placement and Alumni Tracking System for CET",technical
"Evaluating the Tensile Strength of Recycled Plastic Fiber Concrete",technical
"Predicting Student Retention in Higher Education Using Random Forest",technical
"Development of a Smart Water Meter with Web-Based Billing",technical
"Isolation of Lactic Acid Bacteria from Local Fermented Food",technical
"Design and Construction of a Pedal-Operated Cacao Depulper",technical
"Spatial Analysis of Forest Cover Changes in Mayantoc Using GIS",technical
"Detection of Mastitis in Dairy Cows Using Thermal Imaging",technical
"A Web-Based Help Desk System with Ticket Auto-Routing using NLP",technical
"Design and Implementation of a Solar-Assisted Poultry Incubator",technical
"Development of a Voice-Controlled Home Automation System",technical
"Evaluating the Thermal Conductivity of Coconut Coir Insulating Boards",technical
"Image Processing System for Grading and Sorting Calamansi Fruits",technical
"The Impact of Social Media Engagement on Academic Performance of CAS Students",social
"Psychological Resilience and Coping Mechanisms of Working Students",social
"Economic Viability of Organic Farming Cooperatives in Tarlac",social
"Perceived Effectiveness of Hybrid Learning among CED Pre-Service Teachers",social
"Consumer Buying Behavior towards E-Commerce Platforms during COVID-19",social
"Community-Based Ecotourism Development Plan for Camiling, Tarlac",social
"Language Anxiety and Speaking Performance in ESL Classrooms",social
"Socio-Economic Profile of Small-Scale Fisheries in Rural Areas",social
"Exploring the Lived Experiences of Single Mothers in Higher Education",social
"Assessment of TAU Extension Services in Remote Barangays",social
"Mental Health Challenges and Support Systems among Freshmen Students",social
"Factors Affecting Customer Satisfaction in Local Food Establishments",social
"Gender Representation in Local Television Advertisements",social
"The Role of Barangay Health Workers in Maternal Health Care Delivery",social
"Pedagogical Strategies in Teaching Mother Tongue-Based Multilingual Education",social
"Impact of Financial Literacy on Savings Behavior of Public School Teachers",social
"Workplace Diversity and Employee Performance in Multi-National Firms",social
"Socio-Economic Impact of Agrarian Reform Programs in Tarlac",social
"Assessing the Psychological Impact of Cyberbullying among Adolescents",social
"Reading Comprehension Levels and Academic Performance of Grade 6 Pupils",social
"Indigenous Knowledge Systems and Practices of the Aeta Communities",social
"Evaluation of Disaster Risk Reduction Management Awareness in Schools",social
"Determinants of Job Burnout among Healthcare Workers in Rural Clinics",social
"Classroom Management Styles and Student Behavior in Secondary Schools",social
"Consumer Preference between Organic and Inorganic Vegetables in Tarlac",social
"Cultural Heritage Preservation and Tourism Development in Camiling",social
"Socio-Economic Determinants of Child Malnutrition in Low-Income Areas",social
"Perceptions on the Implementation of Sex Education in High Schools",social
"Assessment of Solid Waste Management Practices in Camiling Municipalities",social
"The Influence of Peer Groups on Career Choices of Senior High Students",social
"Emotional Intelligence and Leadership Styles of TAU Student Leaders",social
"Impact of Micro-Cretits on Small Scale Livestock Farmers",social
"Job Satisfaction and Turnover Intentions of Private School Teachers",social
"Assessing the Effectiveness of Local Barangay Justice Systems",social
"Parental Expectations and Academic Stress among High School Achievers",social
"Socio-Economic Analysis of Backyard Poultry Raising in Rural Areas",social
"Perceived Effectiveness of Police Community Relations Programs",social
"Impact of Social Support Systems on the Well-being of Elderly Citizens",social
"Student Satisfaction with Online Student Services in State Universities",social
"Analysis of Local Government Initiatives for Agri-Tourism in Tarlac",social
"Factors Affecting the Enrollment Rate in Agricultural Courses at TAU",social
"Assessing the Needs of Out-of-School Youth in Camiling",social
"The Relationship between Sleep Quality and Academic Achievement",social
"Evaluation of the Feeding Program in Camiling Public Elementary Schools",social
"Socio-Economic Impact of the Rice Tariffication Law on Local Farmers",social
"Lived Experiences of Agrarian Reform Beneficiaries in Tarlac",social
"Public Perceptions on the Quality of Public Transport Services",social
"Impact of Classroom Environment on the Cognitive Development of Pupils",social
"Socio-Technical Assessment of Solar Energy Adoption in Rural Communities",social_technical
"User Acceptance and Social Impact of Mobile Health Apps among Elderly Users",social_technical
"Socio-Economic and Technical Evaluation of Small-Scale Drip Irrigation Systems",social_technical
"Digital Literacy and Adoption of E-Learning Platforms among Rural Teachers",social_technical
"Socio-Economic Impact of Smart Farming Technologies on Rice Farmers in Tarlac",social_technical
"Public Perception and Technical Feasibility of E-Vehicles in Public Transport",social_technical
"Ethical and Social Implications of AI in Educational Assessment",social_technical
"User Experience and Accessibility Evaluation of the TAU Portal by Students",social_technical
"Adoption of Digital Accounting Systems among Small and Medium Enterprises",social_technical
"Socio-Economic Consequences of Blockchain Integration in Agrifood Supply Chains",social_technical
"Socio-Technical Analysis of Remote Work Adaptability in Academic Institutions",social_technical
"E-Participation and Citizen Engagement via Municipal Web Portals",social_technical
"A Socio-Technical Study on the Adoption of Automated Cash Registers in Retail",social_technical
"User Experience and Mental Workload of Students using Virtual Reality Tools",social_technical
"Assessment of Technical Competency and Digital Literacy of Public Librarians",social_technical
"Socio-Economic Vulnerability and Technical Preparedness for Climate Change",social_technical
"Adoption Rate and User Satisfaction of E-Government Services in Tarlac",social_technical
"Attitudes and Barriers to the Adoption of Precision Agriculture Technologies",social_technical
"Usability and Social Engagement of Mobile Learning Apps in Rural Areas",social_technical
"Socio-Technical Challenges in the Transition to Digital Banking Services",social_technical
"User Perception and Effectiveness of AI-Powered Language Learning Software",social_technical
"Evaluating the Social Acceptability of Wastewater Recycling Technologies",social_technical
"Impact of Digital Financial Services on the Financial Inclusion of Vendors",social_technical
"The Role of Social Media in the Diffusion of Agricultural Innovations",social_technical
"Technology Readiness and Customer Satisfaction in Automated Restaurants",social_technical
"Socio-Technical Factors Influencing Cyber Security Awareness in LGUs",social_technical
"Assessment of ICT Integration and Teacher Preparation in Special Education",social_technical
"User Acceptance of Wearable Health Trackers among Chronic Disease Patients",social_technical
"Socio-Economic and Ecological Assessment of Community Forestry Projects",social_technical
"Usability Testing and Behavioral Intention to Use the TAU Enrolment App",social_technical
"Evaluating the Adoption of Cloud Computing in Local Cooperative Banks",social_technical
"The Role of E-Extension Services in Improving farming Practices",social_technical
"Technological Readiness and Social Adaptability of Freshmen Students",social_technical
"Public Acceptance and Environmental Safety of Solar Energy Farms",social_technical
"Assessment of Digital Divide in Rural Communities of Camiling, Tarlac",social_technical
"Socio-Technical Analysis of Telemedicine Adoption during Emergencies",social_technical
"E-Commerce Readiness and Challenges of Agri-tourism Farms in Region III",social_technical
"User Resistance and Usability Barriers in Hospital Management Systems",social_technical
"Socio-Economic Impact of High-Yield Crop Varieties and Modern Machinery",social_technical
"Digital Tools in Local Government Units: Technical Capability and Usability",social_technical
"Socio-Technical Evaluation of Biogas Technology Adoption in Hog Farms",social_technical
"Adoption and Perceived Benefits of Smart Water Meters in Urban Areas",social_technical
"Technology Acceptance of AI Chatbots in Student Advising and Support",social_technical
"Socio-Technical Barriers in the Implementation of Electronic Voting Systems",social_technical
"User Centered Design and Socio-Economic Evaluation of Local Travel Apps",social_technical
"Technology Readiness and Cyber-Risk Perceptions among Cooperatives",social_technical
"Evaluating ICT Tools for Disaster Response: Usability and Efficiency",social_technical
"The Social and Environmental Impacts of Modern Milling Machines in Tarlac",social_technical
"Socio-Technical Factors in the Adoption of Eco-Friendly Cooking Stoves",social_technical
"Technology Acceptance and Usability of Tele-Veterinary Services",social_technical
"Digital Competence and Instructional Technology Integration of Educators",social_technical
"Assessment of E-Waste Management Awareness and Disposal Infrastructure",social_technical
